,0,1,2
1394,,loathe,snape
1395,harry,have,time
1396,harry,cling,
1397,snape,say,
1398,,set,record
1399,fury,seem,
1400,snape,continue,
1401,harry,remain,
1402,,reach,step
1403,harry,wonder,
1404,snape,say,
1405,harry,turn,spot
1406,ron,say,
1407,harry,say,
1408,hermione,say,
1409,tergeo,say,
1410,,siphon,blood
1411,harry,say,
1412,nose,look,
1413,hermoine,say,
1414,harry,say,
1415,nick,come,
1416,hermione,say,
1417,harry,say,
1418,malfoy,spread,story
1419,hermione,say,
1420,hat,say,
1421,,ask,harry
1422,dumbledore,mention,voldemort
1423,snape,say,
1424,,see,snape
1425,ron,say,
1426,harry,say,
1427,hermione,say,
1428,harry,look,
1429,top,come,
